cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
BRM,1530,BROMOMÉTHANE,Bromométhane,74-83-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMTT,1869,DAZOMET,Dazomet,533-74-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MBT,2542,MONOBUTYLÉTAIN CATION (PESTICIDE),Monobutylétain cation (pesticide),78763-54-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BROD,5546,BRODIFACOUM,Brodifacoum,56073-10-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYHAL,1138,CYHALOTHRINE,Cyhalothrine,68085-85-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRTF,5824,PROTHIOFOS,Prothiofos,34643-46-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MANEB,1705,MANÈBE,Manèbe,12427-38-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENBUOX,2078,FENBUTATIN OXYDE,Fenbutatin oxyde,13356-08-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
RESM,2859,RESMETHRINE,Resmethrine,10453-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
NHFOSAM,5649,FOSAMINE AMMONIUM,Fosamine ammonium,25954-13-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PCH,2988,PROPAMOCARBE HYDROCHLORIDE,Propamocarbe hydrochloride,25606-41-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRQTDC,5661,PARAQUAT DICHLORIDE,Paraquat dichloride,1910-42-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MFTC,8686,MÉFENTRIFLUCONAZOLE,Méfentrifluconazole,1417782-03-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPA2EH,2746,MCPA-2-ETHYLHEXYL,MCPA-2-ethylhexyl,29450-45-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPABU,2747,MCPA-BUTOTYL,MCPA-butotyl,19480-43-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEPIQU1,2089,MEPIQUAT CHLORURE (UTILISER MEPIQUA,Mepiquat chlorure (utiliser MEPIQUA),24307-26-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMISUL,8043,AMISULBRON,Amisulbron,348635-87-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PESTOT,6276,TOTAL DES PESTICIDES ANALYSÉS,Total des pesticides analysés,,pesticide,,,0.5,µg/L,Limite de qualité réglementaire pour la somme de tous les pesticides et métabolites pertinents,,,,,,
